id;weight;protein_need;cal_protein_need;fat_need;cal_fat_need;carbohydrate_need;cal_carbohydrate_need
1;9897;31955;78191;48999;58463;17113;27547
2;82870;965;36934;12964;31889;12548;74579
3;237;934;38537;75109;53166;72845;34196
4;12839;2395;96545;75744;87864;92245;74825
5;16442;32613;5546;5506;22644;61324;60507
6;47542;96255;59254;38323;32126;32085;57643
7;77502;69163;74021;74851;73413;86342;25800
8;64851;75629;18559;48214;78392;61531;56024
9;45;23869;12513;86257;44091;45484;31239
10;94876;37530;8297;71922;90993;41460;7840
