id;weight;protein_need;cal_protein_need;fat_need;cal_fat_need;carbohydrate_need;cal_carbohydrate_need
1;85567;78482;20665;56539;239;42118;75537
2;43486;48557;63656;30667;27207;69477;78494
3;76554;7843;22534;86402;10132;13792;91460
4;53800;50133;92377;49474;8057;92486;70262
5;17888;23512;57569;17500;47750;96788;14
6;52380;20348;59102;11619;72505;98548;43665
7;18176;19735;9218;95796;61007;4628;54608
8;37582;36696;29884;48391;21810;6462;18951
9;69383;99299;60594;19781;87142;52363;52308
10;53370;30803;56148;11230;55791;72152;59359
